Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
544,Lara Croft and the Guardian of Light,Square Enix,Crystal Dynamics,1000000,8/18/2010,10/26/2020,Action-Adventure
545,Mortal Kombat: Shaolin Monks,Midway Games,Midway,1000000,9/16/2005,10/28/2020,Fighting
546,Mortal Kombat: Armageddon,Midway Games,Midway Games,1000000,10/11/2006,10/28/2020,Fighting
547,Far Cry 3: Blood Dragon,Ubisoft,Ubisoft Montreal,1000000,4/30/2013,10/28/2020,Shooter
548,Metal Gear Solid V: Ground Zeroes,Konami,Kojima Productions,1000000,3/18/2014,10/28/2020,Action-Adventure
549,Tony Hawk's Pro Skater 1 + 2,Activision,Vicarious Visions,1000000,9/4/2020,11/3/2020,Sports
550,Command & Conquer 3: Tiberium Wars,Electronic Arts,EA Los Angeles,1000000,3/26/2007,11/8/2020,Strategy
551,Rayman 3: Hoodlum Havoc,Ubisoft,Ubisoft,1000000,3/4/2003,11/9/2020,Platform
552,Rayman Legends,Ubisoft,Ubisoft Montpellier,1000000,9/3/2013,11/9/2020,Platform
553,Football Manager 2013,Sega,Sports Interactive,1000000,11/2/2012,11/13/2020,Simulation
554,Football Manager 2014,Sega,Sports Interactive,1000000,10/30/2013,11/13/2020,Simulation
555,Football Manager 2015,Sega,Sports Interactive,1000000,11/7/2014,11/13/2020,Simulation
556,One Piece: Pirate Warriors 3,Bandai Namco Entertainment,Omega Force,1000000,8/25/2015,11/13/2020,Action-Adventure
557,Sonic the Hedgehog 4: Episode I,Sega,Dimps Corporation,1000000,10/7/2010,11/14/2020,Platform
558,Naruto Shippuden: Ultimate Ninja Storm Revolution,Bandai Namco Games,CyberConnect2,1000000,9/16/2014,11/23/2020,Fighting
559,Sakuna: Of Rice and Ruin,Xseed Games,Edelweiss,1000000,11/10/2020,11/25/2020,Action-Adventure
560,Tom Clancy's HAWX,Ubisoft,Ubisoft Bucharest,1000000,3/3/2009,11/26/2020,Simulation
561,Spintires: MudRunner,Focus Home Interactive,Saber Interactive,1000000,10/31/2017,11/27/2020,Simulation
562,SnowRunner,Focus Home Interactive,Saber Interactive,1000000,4/28/2020,11/27/2020,Simulation
563,The Lord of the Rings: The Fellowship of the Ring,Black Label Games,WXP,1000000,9/24/2002,11/30/2020,Action-Adventure
564,Outward,Deep Silver,Nine Dots Studio,1000000,3/26/2019,12/1/2020,Role-Playing
565,The Lord of the Rings: The Third Age,Electronic Arts,EA Redwood Shores,1000000,11/2/2004,12/3/2020,Role-Playing
566,The Urbz: Sims in the City,Electronic Arts,Maxis,1000000,11/9/2004,12/3/2020,Simulation
567,GoldenEye: Rogue Agent,Electronic Arts,EA Los Angeles,1000000,11/22/2004,12/3/2020,Shooter
568,Burnout Paradise,Electronic Arts,Criterion Games,1000000,1/22/2008,12/5/2020,Racing
569,Saints Row IV,Deep Silver,Volition,1000000,8/20/2013,12/6/2020,Action-Adventure
570,Farming Simulator 17,Giants Software,Giants Software,1000000,10/24/2016,12/18/2020,Simulation
571,Pitfall: The Mayan Adventure,Activision,Activision,1000000,1/1/1994,12/19/2020,Platform
572,Transistor,Supergiant Games,Supergiant Games,1000000,5/20/2014,12/27/2020,Role-Playing
573,Inside,Playdead,Playdead,1000000,6/29/2016,12/27/2020,Platform
574,Hades,Supergiant Games,Supergiant Games,1000000,9/17/2020,12/27/2020,Role-Playing
575,Return to Zork,Infocom,Activision,1000000,9/15/1993,12/28/2020,Adventure
576,Sniper Elite V2,Rebellion Developments,Rebellion Developments,1000000,5/2/2012,12/28/2020,Shooter
577,Baldur's Gate: Dark Alliance,Black Isle Studios,Snowblind Studios,1000000,12/4/2001,12/31/2020,Role-Playing
578,Football Manager 2021,Sega,Sports Interactive,1000000,11/24/2020,1/5/2021,Simulation
579,Sniper: Ghost Warrior 3,CI Games,CI Games,1000000,4/25/2017,1/11/2021,Shooter
580,Sniper: Ghost Warrior Contracts,CI Games,CI Games,1000000,11/22/2019,1/11/2021,Shooter
581,Elite,Acornsoft,David Braben,1000000,9/20/1984,1/19/2021,Simulation
582,Valkyria Chronicles 4,Sega,Sega,1000000,9/25/2018,1/20/2021,Role-Playing
583,Warhammer: End Times – Vermintide,Fatshark,Fatshark,1000000,10/23/2015,1/21/2021,Action
584,Catherine,Atlus,Atlus,1000000,7/26/2011,1/24/2021,Puzzle
585,Yooka-Laylee,Team17,Playtonic Games,1000000,4/11/2017,1/24/2021,Platform
586,Hellblade: Senua's Sacrifice,Ninja Theory,Ninja Theory,1000000,8/8/2017,1/24/2021,Action-Adventure
587,Untitled Goose Game,Panic,House House,1000000,9/20/2019,1/24/2021,Simulation
588,Prey,2K Games,Human Head Studios,1000000,7/11/2006,1/27/2021,Shooter
589,Salt and Sanctuary,Ska Studios,Ska Studios,1000000,3/15/2016,1/27/2021,Role-Playing
590,FlatOut,Vivendi Games,Bugbear Entertainment,1000000,7/12/2005,1/28/2021,Racing
591,FlatOut 2,Empire Interactive,Bugbear Entertainment,1000000,6/30/2006,1/28/2021,Racing
592,Bloodstained: Ritual of the Night,505 Games,ArtPlay,1000000,6/18/2019,2/8/2021,Platform
593,60 Seconds!,Robot Gentleman Studios,Robot Gentleman Studios,1000000,5/25/2015,2/9/2021,Action-Adventure
594,Celeste,Matt Makes Games Inc.,Matt Makes Games Inc.,1000000,1/25/2018,2/9/2021,Platform
595,Oxenfree,Night School Studio,Night School Studio,1000000,1/15/2016,2/12/2021,Adventure
596,A Hat in Time,Gears for Breakfast,Gears for Breakfast,1000000,10/5/2017,2/12/2021,Platform
597,GRIS,Devolver Digital,Nomada Studio,1000000,12/13/2018,2/12/2021,Adventure
598,Trials of Mana,Square Enix,Square Enix,1000000,4/24/2020,2/12/2021,Role-Playing
599,Lollipop Chainsaw,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,1000000,6/12/2012,2/16/2021,Action
600,Fez,Trapdoor,Polytron Corporation,1000000,4/13/2012,2/17/2021,Platform
601,Dragon's Crown,Atlus,Vanillaware,1000000,8/6/2013,2/18/2021,Role-Playing
602,Thomas Was Alone,Mike Bithell Games,Mike Bithell Games,1000000,6/30/2012,2/20/2021,Platform
603,Angry Birds Trilogy,Rovio Mobile,Rovio Mobile,1000000,9/25/2012,2/20/2021,Puzzle
604,A Plague Tale: Innocence,Focus Home Interactive,Asobo Studio,1000000,5/14/2019,2/22/2021,Action-Adventure
605,Star Wars: Episode III – Revenge of the Sith,LucasArts,The Collective,1000000,5/4/2005,2/23/2021,Action
606,Quake II,Activision,id Software,1000000,12/9/1997,2/25/2021,Shooter
607,Fight Night 2004,EA Sports,EA Canada,1000000,4/5/2004,3/1/2021,Sports
608,UEFA Euro 2004,EA Sports,EA Canada,1000000,5/4/2004,3/1/2021,Sports
609,Harry Potter and the Prisoner of Azkaban,Electronic Arts,Electronic Arts,1000000,5/25/2004,3/1/2021,Action-Adventure
610,Broken Sword: The Shadow of the Templars,Virgin Interactive,Revolution Software,1000000,9/30/1996,3/3/2021,Adventure
611,The Vanishing of Ethan Carter,The Astronauts,The Astronauts,1000000,9/26/2014,3/6/2021,Adventure
612,Little Nightmares 2,Bandai Namco Entertainment,Tarsier Studios,1000000,2/11/2021,3/12/2021,Platform
613,Tropico,Gathering of Developers,PopTop Software,1000000,4/24/2001,3/13/2021,Simulation
614,The Darkness,2K Games,Starbreeze Studios,1000000,6/25/2007,3/16/2021,Shooter
615,Another World,U.S. Gold,Delphine Software International,1000000,1/1/1991,3/28/2021,Action-Adventure
616,The Bard's Tale,inXile Entertainment,Interplay Productions,1000000,10/26/2004,3/28/2021,Role-Playing
617,The Punisher,THQ,Volition,1000000,1/16/2005,3/31/2021,Shooter
618,Red Faction: Guerrilla,THQ,Volition,1000000,6/2/2009,3/31/2021,Shooter
619,Phantasmagoria,Sierra Online,Sierra On-Line,1000000,8/24/1995,4/2/2021,Adventure
620,Police Quest: SWAT,Sierra Online,Sierra On-Line,1000000,9/30/1995,4/3/2021,Strategy
621,NASCAR Racing,Papyrus,Papyrus Design Group,1000000,1/1/1994,4/10/2021,Racing
622,Rampage: Total Destruction,Midway Games,Pipeworks Software,1000000,4/24/2006,4/14/2021,Action
623,Stranglehold,Midway Games,Midway,1000000,9/7/2007,4/14/2021,Shooter
624,Turok,Disney Interactive Studios,Propaganda Games,1000000,2/5/2008,4/15/2021,Shooter
625,Fight Night Round 3,EA Sports,EA Chicago,1000000,2/20/2006,4/20/2021,Fighting
626,FIFA Street 2,EA Sports BIG,EA Canada,1000000,2/28/2006,4/20/2021,Sports
627,The Godfather,Electronic Arts,EA Redwood Shores,1000000,3/21/2006,4/20/2021,Action-Adventure
628,Spiritfarer,Thunder Lotus Games,Thunder Lotus Games,1000000,8/18/2020,4/20/2021,Simulation
629,Cool Spot,Virgin Games,Virgin Games,1000000,4/1/1993,5/25/2021,Platform
630,WALL-E,Unknown,Heavy Iron Studios,1000000,,5/25/2021,Platform
631,Ghostrunner,505 Games,One More Level,1000000,10/27/2020,5/31/2021,Action
632,Guilty Gear -Strive-,Arc System Works,Arc System Works,1000000,6/11/2021,6/15/2021,Fighting
633,Judgment,Sega,Sega,1000000,6/25/2019,6/16/2021,Action-Adventure
634,Destroy All Humans!,THQ,Pandemic Studios,1000000,6/21/2005,7/8/2021,Action-Adventure
635,Destroy All Humans! (2020),THQ Nordic,Black Forest Games,1000000,7/28/2020,7/8/2021,Action-Adventure
636,PlayStation All-Stars Battle Royale,Sony Computer Entertainment,SuperBot Entertainment,1000000,11/20/2012,7/10/2021,Fighting
637,TNA iMPACT!,Midway Games,Midway Studios Los Angeles,1000000,9/9/2008,8/17/2021,Fighting
638,Dust: An Elysian Tail,Microsoft Studios,Humble Hearts,1000000,8/15/2012,8/17/2021,Action-Adventure
639,Chivalry 2,Tripwire Interactive,Torn Banner Studios,1000000,6/8/2021,8/17/2021,Action
640,Biomutant,THQ Nordic,Experiment 101,1000000,5/25/2021,8/18/2021,Role-Playing
641,Rayman 2: The Great Escape,Ubisoft,Ubisoft Montpellier,1000000,11/6/1999,8/31/2021,Platform
642,The Thing,Black Label Games,Computer Artworks,1000000,8/20/2002,9/3/2021,Shooter
643,Story of Seasons: Pioneers of Olive Town,Xseed Games,Marvelous,1000000,9/15/2021,10/5/2021,Simulation
644,Creed: Rise to Glory,Unknown,Survios,1000000,,10/14/2021,Fighting
645,Unpacking,Humble Bundle,Witch Beam,1000000,11/2/2021,12/14/2021,Puzzle
646,Bravely Default II,Square Enix,Silicon Studio,1000000,2/26/2021,12/22/2021,Role-Playing
647,Ender Lilies: Quietus of the Knights,Binary Haze Interactive,Live Wire,1000000,6/22/2021,3/7/2022,Action-Adventure
648,Scarlet Nexus,Bandai Namco Entertainment,Bandai Namco Games,1000000,6/25/2021,4/14/2022,Action
649,Earthworm Jim,Playmates,Shiny Entertainment,1000000,10/1/1994,4/26/2022,Platform
650,Wet,Bethesda Softworks,Artificial Mind & Movement,1000000,9/15/2009,4/26/2022,Shooter
651,Teenage Mutant Ninja Turtles: Shredder's Revenge,DotEmu,Tribute Games,1000000,6/16/2022,7/13/2022,Action
652,Earth Defense Force 5,D3 Publisher,Sandlot,1000000,12/11/2018,8/17/2022,Shooter
653,Cult of the Lamb,Devolver Digital,Massive Monster,1000000,8/11/2022,8/18/2022,Action-Adventure
654,Actua Soccer,Interplay Productions,Gremlin Interactive,1000000,3/31/1996,9/30/2022,Sports
655,Midway Arcade Treasures,Midway Games,Digital Eclipse,1000000,11/17/2003,9/30/2022,Misc
