Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
292,Kid Icarus,Nintendo,Nintendo,3120000,7/1/1987,5/10/2022,Platform
293,Parasite Eve,Square,Square,3100000,9/9/1998,2/29/2020,Role-Playing
294,Bravely,Nintendo,Silicon Studio,3100000,2/7/2014,2/29/2020,Role-Playing
295,Quake,GT Interactive,id Software,3100000,6/22/1996,2/25/2021,Shooter
296,Sacred,Encore,Ascaron,3090000,3/25/2004,4/21/2021,Role-Playing
297,Code Vein,Bandai Namco Entertainment,Bandai Namco Studios,3000000,9/27/2019,2/4/2020,Role-Playing
298,Your Shape,Ubisoft,Ubisoft,3000000,11/24/2009,2/10/2020,Sports
299,Rally Championship,Electronic Arts,Red Rat Software,3000000,1/31/2000,2/28/2020,Racing
300,Gungeon,Devolver Digital,Dodge Roll,3000000,4/5/2016,3/3/2020,Action-Adventure
301,Warhammer: Vermintide,Fatshark,Fatshark,3000000,10/23/2015,3/4/2020,Action
302,Syberia,Microids,Microids,3000000,1/9/2002,3/9/2021,Adventure
303,Frogwares' Sherlock Holmes,The Adventure Company,Frogwares,3000000,1/22/2003,3/9/2021,Adventure
304,Pajama Sam,Humongous Entertainment,Humongous Entertainment,3000000,8/6/1996,5/5/2021,Adventure
305,Shantae,Capcom,WayForward,3000000,6/2/2002,6/26/2021,Platform
306,Chivalry,Torn Banner Studios,Torn Banner Studios,3000000,9/10/2007,8/17/2021,Action
307,Warriors Orochi,KOEI,Omega Force,2930000,9/18/2007,10/17/2020,Action
308,Top Gun,Ocean Software,Ocean Software,2850000,12/1/1986,9/21/2022,Simulation
309,Superhot,SUPERHOT Team,SUPERHOT Team,2840000,2/25/2016,5/19/2020,Shooter
310,Ni no Kuni,Namco Bandai Games,Level 5,2830000,1/22/2013,2/6/2020,Role-Playing
311,Kane & Lynch,Eidos Interactive,IO Interactive,2820000,11/13/2007,10/18/2020,Shooter
312,Thief,Eidos Interactive,Looking Glass Studios,2810000,12/1/1998,2/28/2020,Action-Adventure
313,Hollow Knight,Team Cherry,Team Cherry,2800000,2/24/2017,3/14/2020,Action-Adventure
314,Valkyria Chronicles,Sega,Sega,2770000,11/4/2008,9/14/2020,Role-Playing
315,Shovel Knight,Yacht Club Games,Yacht Club Games,2650000,6/26/2014,2/28/2020,Platform
316,Mirror's Edge,Electronic Arts,EA DICE,2540000,11/11/2008,1/26/2021,Platform
317,Dungeon Siege,Microsoft,Gas Powered Games,2520000,4/5/2002,1/7/2021,Role-Playing
318,The 7th Guest,Virgin Interactive,Trilobyte,2520000,4/1/1993,6/9/2023,Puzzle
319,Prey,Bethesda Softworks,Human Head Studios,2500000,7/11/2006,1/27/2021,Shooter
320,Lumines,Ubisoft,Q Entertainment,2500000,3/23/2005,2/26/2021,Puzzle
321,Comanche,NovaLogic,NUKKLEAR,2500000,1/1/1992,3/27/2021,Simulation
322,BlazBlue,Aksys Games,Arc System Works,2440000,11/20/2008,2/19/2021,Fighting
323,Sonic & Sega All-Stars Racing,Sega,Sumo Digital,2430000,2/23/2010,11/13/2020,Racing
324,CSI: Crime Scene Investigation,Ubisoft,369 Interactive,2400000,3/26/2003,7/15/2021,Adventure
325,Realms of Arkania,Sirtech,Attic Entertainment Software GmbH,2400000,6/1/1993,5/11/2022,Role-Playing
326,The Escapists,Team17,Mouldy Toof Studios,2290000,2/13/2015,2/18/2021,Strategy
327,Project CARS,Bandai Namco Entertainment,Slightly Mad Studios,2260000,5/6/2015,3/17/2020,Racing
328,Valkyrie Profile,Enix,tri-Ace,2200000,8/29/2000,2/29/2020,Role-Playing
329,Deponia,Daedalic Entertainment,Daedalic Entertainment,2200000,8/6/2012,4/1/2021,Adventure
330,Carmageddon,Interplay Productions,Stainless Games,2000000,6/30/1997,2/28/2020,Racing
331,Fitness Boxing,Nintendo,Imagineer,2000000,1/4/2019,1/14/2021,Sports
332,Crusader Kings,Paradox Interactive,Paradox Development,2000000,9/28/2004,2/21/2021,Strategy
333,Hidden & Dangerous,TalonSoft,Illusion Softworks,2000000,7/26/1999,3/12/2021,Shooter
334,Atelier Ryza,Koei Tecmo,Gust,2000000,10/29/2019,3/29/2021,Role-Playing
335,Leisure Suit Larry,Sierra Online,Sierra On-Line,2000000,7/5/1987,4/8/2021,Adventure
336,Destroy All Humans!,THQ,Pandemic Studios,2000000,6/21/2005,7/8/2021,Action-Adventure
337,Fire Emblem Warriors,Nintendo,Omega Force,2000000,10/20/2017,8/17/2022,Action
338,Final Fantasy Pixel Remaster,Square Enix,Square Enix,2000000,7/28/2021,5/2/2023,Role-Playing
339,Tak,THQ,Avalanche Software,2000000,10/15/2003,5/21/2023,Platform
340,Zork,Infocom,"Infocom, Inc.",1930000,12/1/1980,12/28/2020,Adventure
341,Earth Defense Force,D3 Publisher,Sandlot,1850000,6/26/2003,9/21/2022,Shooter
342,Fatal Frame,Tecmo,Tecmo,1760000,3/8/2002,2/28/2022,Action-Adventure
343,Manhunt,Rockstar Games,Rockstar North,1700000,11/19/2003,4/2/2021,Action-Adventure
344,Senran Kagura,Xseed Games,Tamsoft,1650000,11/14/2013,2/6/2020,Action-Adventure
345,Poker Night,Telltale Games,Telltale Games,1620000,11/22/2010,7/14/2021,Misc
346,Bloodstained,Inti Creates,Inti Creates,1600000,5/24/2018,2/8/2021,Platform
347,Amnesia,Frictional Games,Frictional Games,1580000,9/8/2010,3/18/2021,Adventure
348,Rygar,Tecmo,Tecmo,1500000,4/17/1987,2/8/2020,Action-Adventure
349,Digimon Story: Cyber Sleuth,Bandai Namco Entertainment,Media.Vision,1500000,2/2/2016,2/22/2021,Role-Playing
350,Runaway,Tri Synergy,Pendulo Studios,1500000,8/20/2003,3/4/2021,Adventure
351,Dracula: Resurrection,DreamCatcher Interactive,Index+,1500000,6/1/2000,3/9/2021,Adventure
352,Heroes of Might and Magic,New World Computing,New World Computing,1500000,9/1/1995,3/14/2021,Strategy
353,Star Wars: Rebel Assault,LucasArts,LucasArts,1500000,11/1/1993,7/11/2021,Shooter
354,Attack on Titan,Spike Chunsoft,Spike Chunsoft,1440000,12/5/2013,3/24/2020,Action
355,1942,Capcom,Capcom,1400000,12/1/1984,2/4/2020,Shooter
356,Imperivm,Strategy First,Haemimont Games,1350000,8/21/2002,3/8/2021,Strategy
357,Homeworld,Sierra Studios,Relic Entertainment,1330000,9/28/1999,1/26/2021,Strategy
358,We Ski,Namco Bandai Games,Bandai Namco Studios,1300000,5/13/2008,11/21/2020,Sports
359,The Longest Journey,Tri Synergy,Funcom,1300000,11/16/2000,3/6/2021,Adventure
360,Red Steel,Ubisoft,Ubisoft Paris,1220000,11/19/2006,2/27/2021,Shooter
361,Age of Wonders,Paradox Interactive,Triumph Studios,1210000,11/11/1999,5/10/2023,Strategy
362,Commando,Capcom,Capcom,1200000,4/1/1985,2/3/2020,Shooter
363,Endless,Iceberg Interactive,Amplitude Studios,1200000,7/4/2012,2/16/2021,Strategy
364,Jane's AH-64D Longbow,Electronic Arts,Origin Systems,1200000,1/1/1996,3/15/2021,Simulation
365,Space Quest,Sierra Online,Sierra On-Line,1200000,10/1/1986,4/3/2021,Adventure
366,Legend of Grimrock,Almost Human,Almost Human Games,1160000,4/11/2012,2/16/2021,Action-Adventure
367,Gangsters,Eidos Interactive,Hothouse Creations,1000000,12/7/1998,2/28/2020,Strategy
368,Untitled Goose Game,Panic,House House,1000000,9/20/2009,3/3/2020,Simulation
369,Hellblade,Ninja Theory,Ninja Theory,1000000,8/8/2017,3/5/2020,Action-Adventure
370,Yooka-Laylee,Team 17,Playtonic Games,1000000,4/11/2017,3/15/2020,Platform
371,Don't Starve,Klei Entertainment,Klei Entertainment,1000000,4/23/2013,3/23/2020,Action-Adventure
372,Catherine,Atlus,Atlus,1000000,2/17/2011,3/27/2020,Puzzle
373,Toukiden,Tecmo Koei,Omega Force,1000000,2/11/2014,2/5/2021,Role-Playing
374,Caesar,Sierra Online,Impressions Games,1000000,10/12/1992,3/18/2021,Simulation
375,Atlantis,Interplay Productions,Cryo Interactive,1000000,9/30/1997,3/20/2021,Adventure
376,The Incredible Machine,Sierra Online,Jeff Tunnell Productions,1000000,1/1/1993,4/14/2021,Puzzle
377,Putt-Putt,Humongous Entertainment,Humongous Entertainment,1000000,1/1/1993,5/1/2021,Adventure
378,Galactic Civilizations,Strategy First,Stardock,880000,3/26/2003,3/16/2021,Strategy
379,Pool of Radiance,Strategic Simulations,Strategic Simulations,850000,6/1/1988,3/26/2021,Role-Playing
380,Imperialism,Strategic Simulations,Frog City Software,800000,9/3/1997,3/13/2021,Strategy
381,Little Big Adventure,Electronic Arts,Adeline Software,800000,10/1/1994,3/30/2021,Action-Adventure
382,Lamborghini,Titus,Titus France SA,790000,1/1/1994,6/27/2023,Racing
383,Akiba,Acquire,Acquire,770000,5/19/2011,2/3/2021,Action
384,Egypt,Cryo Interactive,Cryo Interactive,700000,1/1/1997,3/11/2021,Adventure
385,Civil War General,Sierra Online,Impressions Games,700000,8/24/1996,3/18/2021,Strategy
386,Cake Mania,Sandlot Games,Sandlot Games,700000,9/15/2006,5/5/2021,Puzzle
387,Cultures,Phenomedia,Funatics Software,700000,7/31/2001,7/4/2021,Strategy
388,IndyCar Racing,Papyrus,Papyrus Design Group,580000,1/1/1993,4/10/2021,Racing
389,General,Strategic Simulations,Strategic Simulations,550000,1/1/1994,3/17/2021,Strategy
390,Persona Arena,Atlus,Arc System Works,500000,3/1/2012,2/18/2021,Fighting
391,Still Life,The Adventure Company,Microids,500000,2/27/2003,3/8/2021,Adventure
392,Microsoft Entertainment Pack,Microsoft,Microsoft,500000,1/1/1990,3/21/2021,Misc
393,Uncle Albert,Emme Interactive,Lexis Numerique,500000,1/1/1998,3/22/2021,Adventure
394,Front Page Sports,Dynamix,Dynamix,500000,1/1/1992,4/5/2021,Sports
395,Ankh,bhv Software,DECK13 Interactive,500000,8/31/2006,4/21/2021,Adventure
396,Granblue Fantasy,Xseed Games,Cygames,450000,3/3/2020,4/23/2020,Role-Playing
397,Dragonlance,Strategic Simulations,Strategic Simulations,410000,1/1/1988,3/22/2021,Role-Playing
398,Agony,PlayWay,Madmind Studio,310000,5/29/2018,3/18/2020,Action-Adventure
399,God Wars,Kadokawa Games,Kadokawa Games,300000,6/20/2017,2/17/2020,Role-Playing
400,Gabriel Knight,Sierra Online,Sierra On-Line,300000,12/17/1993,4/10/2021,Adventure
401,Eye of the Beholder,Strategic Simulations,Westwood Associates,250000,1/1/1991,3/24/2021,Role-Playing
402,Fables & Fiends,Virgin Games,Westwood Studios,250000,8/1/1992,4/1/2021,Adventure
403,A-10 Tank Killer,Dynamix,Dynamix,250000,12/1/1989,4/5/2021,Simulation
404,Photo Kano,Kadokawa Games,Dingo,200000,2/2/2012,2/5/2020,Simulation
405,Blue Reflection,Koei Tecmo,Gust,200000,9/26/2017,2/28/2022,Role-Playing
406,Manhunter,Sierra Online,Evryware,200000,1/1/1988,10/5/2022,Adventure
407,Enchanter,Infocom,"Infocom, Inc.",160000,8/10/1983,12/28/2020,Adventure
408,Super Seducer,RLR Training Inc,RLR Training Inc,130000,3/6/2018,2/15/2021,Simulation
409,Phantasie,Strategic Simulations,Strategic Simulations,130000,1/1/1985,3/25/2021,Role-Playing
410,Planetfall,Infocom,"Infocom, Inc.",100000,7/8/1983,12/21/2020,Adventure
411,Yomawari,NIS America,Nippon Ichi Software,100000,10/25/2016,2/3/2021,Adventure
412,Savage Frontier,Strategic Simulations,Beyond Software,90000,1/1/1991,3/22/2021,Role-Playing
413,Gemstone,Strategic Simulations,Paradigm Creators,60000,1/1/1984,3/25/2021,Action-Adventure
414,Roadwar,Strategic Simulations,Strategic Simulations,60000,1/1/1986,3/25/2021,Strategy
415,Detective Pikachu,Nintendo,Creatures,,3/23/2018,6/21/2023,Adventure
